,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[227],3.273,1.727,0.03,6.826
likelihood_unobserved[228],4.128,1.746,0.682,7.523
likelihood_unobserved[229],3.198,1.688,-0.06,6.45
likelihood_unobserved[230],4.088,1.728,0.666,7.475
likelihood_unobserved[231],3.26,1.69,-0.145,6.444
likelihood_unobserved[232],4.109,1.723,0.839,7.586
likelihood_unobserved[233],3.229,1.712,-0.289,6.401
likelihood_unobserved[234],4.096,1.721,0.737,7.48
likelihood_unobserved[235],3.261,1.752,-0.146,6.765
likelihood_unobserved[236],4.15,1.727,0.865,7.594
likelihood_unobserved[237],3.244,1.7,-0.115,6.534
likelihood_unobserved[238],4.087,1.745,0.66,7.537
likelihood_unobserved[239],3.274,1.751,-0.07,6.737
likelihood_unobserved[240],4.119,1.724,0.74,7.505
likelihood_unobserved[241],4.044,1.724,0.741,7.534
likelihood_unobserved[242],3.207,1.743,-0.239,6.529
likelihood_unobserved[243],4.069,1.746,0.808,7.659
likelihood_unobserved[244],3.21,1.733,-0.157,6.603
likelihood_unobserved[245],4.094,1.705,0.702,7.273
likelihood_unobserved[246],3.213,1.714,-0.036,6.628
likelihood_unobserved[247],4.106,1.744,0.765,7.571
likelihood_unobserved[248],3.228,1.702,-0.159,6.477
likelihood_unobserved[249],4.09,1.734,0.68,7.453
likelihood_unobserved[250],4.034,1.716,0.678,7.399
likelihood_unobserved[251],4.027,1.72,0.658,7.364
likelihood_unobserved[252],3.223,1.736,-0.301,6.491
likelihood_unobserved[253],4.113,1.71,0.755,7.379
likelihood_unobserved[254],4.021,1.696,0.691,7.339
likelihood_unobserved[255],4.044,1.696,0.695,7.27
likelihood_unobserved[256],4.013,1.752,0.553,7.361
likelihood_unobserved[257],4.026,1.698,0.701,7.38
likelihood_unobserved[258],4.013,1.732,0.651,7.382
likelihood_unobserved[259],4.034,1.741,0.56,7.336
likelihood_unobserved[260],3.237,1.706,-0.12,6.561
likelihood_unobserved[261],4.111,1.724,0.701,7.383
likelihood_unobserved[262],4.019,1.698,0.859,7.461
likelihood_unobserved[263],4.043,1.726,0.724,7.474
likelihood_unobserved[264],4.039,1.724,0.575,7.277
likelihood_unobserved[265],4.042,1.716,0.729,7.372
likelihood_unobserved[266],4.029,1.718,0.7,7.463
likelihood_unobserved[267],4.037,1.714,0.71,7.452
likelihood_unobserved[268],4.035,1.72,0.623,7.388
likelihood_unobserved[269],3.202,1.717,-0.21,6.566
likelihood_unobserved[270],4.11,1.719,0.801,7.494
