,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[231],80.279,543.961,-994.878,1165.459
likelihood_unobserved[232],125.604,554.075,-935.622,1211.967
likelihood_unobserved[233],89.379,552.691,-1024.485,1130.449
likelihood_unobserved[234],149.062,557.069,-955.996,1211.736
likelihood_unobserved[235],95.486,552.902,-932.626,1226.937
likelihood_unobserved[236],145.823,551.672,-906.953,1222.995
likelihood_unobserved[237],52.153,558.696,-1054.922,1135.663
likelihood_unobserved[238],108.326,553.457,-966.803,1203.989
likelihood_unobserved[239],59.245,554.844,-1003.657,1164.128
likelihood_unobserved[240],114.985,562.29,-950.294,1187.844
likelihood_unobserved[241],131.56,561.039,-928.949,1275.704
likelihood_unobserved[242],52.917,556.7,-1024.477,1161.394
likelihood_unobserved[243],116.406,556.157,-929.284,1234.327
likelihood_unobserved[244],72.072,561.073,-1025.892,1152.778
likelihood_unobserved[245],123.744,560.111,-1011.576,1185.428
likelihood_unobserved[246],73.509,552.993,-988.694,1151.73
likelihood_unobserved[247],120.784,546.685,-954.739,1176.441
likelihood_unobserved[248],75.948,551.793,-999.991,1142.982
likelihood_unobserved[249],130.356,549.432,-909.159,1241.352
likelihood_unobserved[250],127.854,559.538,-968.41,1214.751
likelihood_unobserved[251],134.851,552.829,-923.492,1240.671
likelihood_unobserved[252],117.273,564.133,-967.235,1239.964
likelihood_unobserved[253],157.01,557.294,-902.794,1279.67
likelihood_unobserved[254],135.17,552.994,-968.624,1228.575
likelihood_unobserved[255],137.215,546.712,-934.363,1230.038
likelihood_unobserved[256],136.551,551.63,-931.241,1217.94
likelihood_unobserved[257],132.174,547.931,-931.674,1207.547
likelihood_unobserved[258],139.366,562.05,-943.347,1246.489
likelihood_unobserved[259],133.039,555.935,-893.729,1283.206
likelihood_unobserved[260],119.485,557.312,-1002.027,1177.048
likelihood_unobserved[261],150.055,548.462,-944.232,1189.385
likelihood_unobserved[262],132.789,562.285,-983.498,1216.696
likelihood_unobserved[263],139.125,546.654,-946.559,1206.353
likelihood_unobserved[264],135.183,543.263,-945.884,1167.013
likelihood_unobserved[265],136.909,544.659,-910.748,1221.9
likelihood_unobserved[266],141.3,554.419,-943.502,1229.024
likelihood_unobserved[267],131.345,553.723,-927.346,1227.088
likelihood_unobserved[268],148.837,565.385,-961.009,1236.556
likelihood_unobserved[269],98.319,562.048,-1003.103,1168.432
likelihood_unobserved[270],157.675,553.521,-959.333,1197.329
likelihood_unobserved[271],128.666,553.508,-968.586,1177.002
likelihood_unobserved[272],131.209,562.516,-954.375,1244.836
likelihood_unobserved[273],138.067,549.602,-905.294,1218.39
likelihood_unobserved[274],138.202,560.973,-1010.547,1178.71
likelihood_unobserved[275],94.38,562.481,-965.17,1214.373
likelihood_unobserved[276],141.333,556.726,-930.028,1236.089
likelihood_unobserved[277],127.595,563.59,-938.888,1232.005
likelihood_unobserved[278],136.58,551.831,-934.537,1239.849
likelihood_unobserved[279],133.381,556.574,-942.787,1255.597
likelihood_unobserved[280],112.231,559.574,-945.887,1242.618
likelihood_unobserved[281],163.99,563.333,-932.064,1249.235
likelihood_unobserved[282],132.098,554.68,-964.976,1193.142
likelihood_unobserved[283],130.732,541.957,-885.532,1236.923
