,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[334],3.658,2.278,-0.845,7.962
likelihood_unobserved[335],2.75,2.246,-1.474,7.176
likelihood_unobserved[336],3.626,2.327,-0.746,8.559
likelihood_unobserved[337],2.784,2.198,-1.284,7.162
likelihood_unobserved[338],3.663,2.109,-0.629,7.836
likelihood_unobserved[339],2.836,2.156,-1.392,6.977
likelihood_unobserved[340],3.567,2.291,-0.663,8.217
likelihood_unobserved[341],2.795,2.284,-1.604,7.324
likelihood_unobserved[342],3.617,2.318,-1.079,7.842
likelihood_unobserved[343],2.838,2.209,-1.591,7.084
likelihood_unobserved[344],3.543,2.213,-1.255,7.54
likelihood_unobserved[345],2.755,2.341,-1.845,7.308
likelihood_unobserved[346],3.554,2.286,-0.894,7.892
likelihood_unobserved[347],2.777,2.222,-1.354,7.081
likelihood_unobserved[348],3.564,2.249,-0.961,7.827
likelihood_unobserved[349],2.771,2.209,-1.42,7.046
likelihood_unobserved[350],3.561,2.251,-0.744,7.919
likelihood_unobserved[351],2.721,2.32,-1.934,6.993
likelihood_unobserved[352],3.525,2.198,-0.655,7.674
likelihood_unobserved[353],2.684,2.284,-1.639,7.221
likelihood_unobserved[354],3.611,2.22,-0.566,7.97
likelihood_unobserved[355],2.731,2.139,-1.105,7.383
likelihood_unobserved[356],3.51,2.175,-0.388,7.79
likelihood_unobserved[357],2.719,2.183,-1.374,6.781
likelihood_unobserved[358],3.66,2.27,-1.009,8.002
likelihood_unobserved[359],2.813,2.271,-1.589,7.355
likelihood_unobserved[360],3.586,2.272,-0.639,8.153
likelihood_unobserved[361],2.783,2.283,-1.257,7.796
likelihood_unobserved[362],3.552,2.187,-0.619,7.811
likelihood_unobserved[363],2.718,2.158,-1.622,6.676
likelihood_unobserved[364],3.581,2.255,-0.946,8.13
likelihood_unobserved[365],2.718,2.297,-1.926,6.954
likelihood_unobserved[366],3.491,2.203,-0.565,8.0
likelihood_unobserved[367],2.752,2.191,-1.508,6.867
likelihood_unobserved[368],3.484,2.203,-0.579,7.836
likelihood_unobserved[369],2.795,2.245,-1.229,7.725
likelihood_unobserved[370],3.557,2.25,-0.687,7.947
likelihood_unobserved[371],2.784,2.229,-1.432,6.882
likelihood_unobserved[372],3.483,2.253,-0.73,8.237
likelihood_unobserved[373],2.722,2.302,-1.623,7.231
likelihood_unobserved[374],3.537,2.248,-0.551,8.166
likelihood_unobserved[375],2.718,2.314,-1.667,7.053
likelihood_unobserved[376],3.438,2.31,-1.298,7.982
likelihood_unobserved[377],2.753,2.222,-1.465,7.061
likelihood_unobserved[378],3.606,2.231,-0.749,7.907
likelihood_unobserved[379],2.793,2.267,-1.75,7.179
likelihood_unobserved[380],3.607,2.28,-0.695,8.149
likelihood_unobserved[381],2.78,2.198,-1.592,6.999
likelihood_unobserved[382],3.6,2.314,-0.68,8.356
likelihood_unobserved[383],2.649,2.325,-2.174,6.917
likelihood_unobserved[384],3.527,2.177,-0.628,8.026
likelihood_unobserved[385],2.841,2.299,-1.816,7.263
likelihood_unobserved[386],3.464,2.245,-1.176,7.532
likelihood_unobserved[387],2.803,2.236,-1.428,7.371
likelihood_unobserved[388],3.509,2.283,-1.039,7.881
likelihood_unobserved[389],2.729,2.23,-2.063,6.666
likelihood_unobserved[390],3.559,2.211,-0.654,7.863
likelihood_unobserved[391],2.716,2.28,-1.87,7.05
likelihood_unobserved[392],3.522,2.184,-0.871,7.626
likelihood_unobserved[393],2.68,2.224,-1.894,6.686
likelihood_unobserved[394],3.506,2.248,-0.681,8.203
likelihood_unobserved[395],2.67,2.192,-1.79,6.684
likelihood_unobserved[396],3.623,2.287,-0.433,8.318
likelihood_unobserved[397],2.85,2.204,-1.689,6.902
likelihood_unobserved[398],3.554,2.252,-0.613,7.97
likelihood_unobserved[399],2.682,2.212,-1.429,7.225
likelihood_unobserved[400],3.55,2.307,-1.124,7.63
likelihood_unobserved[401],2.767,2.158,-1.694,6.795
likelihood_unobserved[402],3.555,2.153,-0.685,7.73
likelihood_unobserved[403],2.781,2.249,-1.533,7.05
likelihood_unobserved[404],3.572,2.207,-0.675,7.856
likelihood_unobserved[405],2.752,2.268,-1.616,7.102
likelihood_unobserved[406],3.385,2.352,-1.329,7.84
likelihood_unobserved[407],2.75,2.182,-1.459,7.203
likelihood_unobserved[408],3.566,2.289,-0.831,7.898
likelihood_unobserved[409],2.688,2.231,-1.721,6.909
likelihood_unobserved[410],3.484,2.157,-0.469,7.815
likelihood_unobserved[411],2.695,2.242,-1.455,7.071
likelihood_unobserved[412],3.557,2.319,-0.686,8.32
likelihood_unobserved[413],2.671,2.204,-1.464,6.828
likelihood_unobserved[414],3.578,2.203,-0.446,7.872
likelihood_unobserved[415],2.833,2.263,-1.53,7.292
likelihood_unobserved[416],3.611,2.268,-0.777,8.223
likelihood_unobserved[417],2.877,2.24,-1.679,6.942
likelihood_unobserved[418],3.538,2.214,-0.723,8.022
likelihood_unobserved[419],2.744,2.309,-2.241,6.956
likelihood_unobserved[420],3.589,2.184,-0.505,8.188
likelihood_unobserved[421],2.701,2.3,-2.19,6.948
likelihood_unobserved[422],3.612,2.319,-0.905,8.393
likelihood_unobserved[423],2.776,2.276,-1.582,7.02
likelihood_unobserved[424],3.595,2.251,-1.119,7.893
likelihood_unobserved[425],2.664,2.288,-1.629,7.245
likelihood_unobserved[426],3.524,2.193,-0.672,7.652
likelihood_unobserved[427],2.765,2.251,-1.339,7.4
likelihood_unobserved[428],3.506,2.264,-0.865,8.0
likelihood_unobserved[429],2.743,2.29,-2.022,6.981
likelihood_unobserved[430],3.575,2.229,-0.71,7.943
likelihood_unobserved[431],2.679,2.293,-1.973,6.825
likelihood_unobserved[432],3.541,2.234,-0.861,7.868
likelihood_unobserved[433],2.726,2.288,-1.918,6.938
likelihood_unobserved[434],3.526,2.166,-0.75,7.752
likelihood_unobserved[435],2.664,2.287,-1.613,7.355
likelihood_unobserved[436],3.514,2.223,-0.914,7.863
likelihood_unobserved[437],2.749,2.251,-1.221,7.522
likelihood_unobserved[438],3.541,2.233,-0.608,8.02
likelihood_unobserved[439],2.709,2.357,-2.111,7.126
likelihood_unobserved[440],3.52,2.2,-1.026,7.638
likelihood_unobserved[441],2.802,2.265,-1.489,7.324
likelihood_unobserved[442],3.453,2.211,-0.719,7.84
likelihood_unobserved[443],2.752,2.223,-1.547,7.232
likelihood_unobserved[444],3.586,2.351,-1.229,8.01
likelihood_unobserved[445],2.727,2.197,-1.525,6.78
likelihood_unobserved[446],3.585,2.269,-0.543,8.16
likelihood_unobserved[447],2.73,2.244,-1.645,7.051
likelihood_unobserved[448],3.519,2.174,-0.514,7.997
likelihood_unobserved[449],2.679,2.222,-1.875,6.863
likelihood_unobserved[450],3.489,2.161,-0.699,7.649
likelihood_unobserved[451],2.737,2.223,-1.712,7.124
likelihood_unobserved[452],3.519,2.237,-0.766,7.824
likelihood_unobserved[453],2.822,2.347,-1.542,7.356
likelihood_unobserved[454],3.548,2.17,-0.613,8.028
likelihood_unobserved[455],2.724,2.277,-1.782,7.152
likelihood_unobserved[456],3.529,2.29,-0.531,8.324
likelihood_unobserved[457],2.729,2.238,-1.397,7.305
likelihood_unobserved[458],3.459,2.201,-1.156,7.693
likelihood_unobserved[459],2.75,2.231,-1.285,7.159
likelihood_unobserved[460],3.596,2.258,-1.001,7.632
likelihood_unobserved[461],2.747,2.291,-1.682,6.936
likelihood_unobserved[462],3.459,2.188,-0.917,7.553
likelihood_unobserved[463],2.709,2.172,-1.355,7.039
likelihood_unobserved[464],3.599,2.24,-0.828,7.869
likelihood_unobserved[465],2.8,2.278,-1.541,7.265
likelihood_unobserved[466],3.513,2.182,-0.72,7.989
likelihood_unobserved[467],2.719,2.265,-1.968,6.985
likelihood_unobserved[468],3.552,2.21,-0.516,7.916
likelihood_unobserved[469],2.685,2.251,-1.755,7.143
likelihood_unobserved[470],3.523,2.264,-0.737,7.987
likelihood_unobserved[471],2.704,2.221,-1.447,7.359
likelihood_unobserved[472],3.446,2.247,-0.81,8.04
