,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[275],0.005,0.0,0.005,0.006
likelihood_unobserved[276],0.005,0.0,0.004,0.005
likelihood_unobserved[277],0.004,0.001,0.003,0.006
likelihood_unobserved[278],0.003,0.003,0.001,0.006
likelihood_unobserved[279],0.004,0.0,0.004,0.004
likelihood_unobserved[280],0.008,0.003,0.005,0.011
likelihood_unobserved[281],0.004,0.003,0.001,0.007
likelihood_unobserved[282],0.006,0.001,0.005,0.006
likelihood_unobserved[283],0.007,0.003,0.004,0.01
likelihood_unobserved[284],0.006,0.004,0.002,0.01
likelihood_unobserved[285],0.004,0.002,0.002,0.006
likelihood_unobserved[286],0.003,0.001,0.002,0.004
likelihood_unobserved[287],0.002,0.001,0.001,0.003
likelihood_unobserved[288],0.005,0.004,0.001,0.009
likelihood_unobserved[289],0.004,0.002,0.002,0.007
likelihood_unobserved[290],0.006,0.005,0.001,0.011
likelihood_unobserved[291],0.003,0.001,0.002,0.005
likelihood_unobserved[292],0.003,0.0,0.003,0.004
likelihood_unobserved[293],0.003,0.002,0.001,0.004
likelihood_unobserved[294],0.004,0.001,0.003,0.005
likelihood_unobserved[295],0.005,0.001,0.004,0.006
likelihood_unobserved[296],0.007,0.002,0.004,0.009
likelihood_unobserved[297],0.001,0.001,0.001,0.002
likelihood_unobserved[298],0.002,0.001,0.002,0.003
likelihood_unobserved[299],0.007,0.001,0.005,0.008
likelihood_unobserved[300],0.004,0.0,0.004,0.004
likelihood_unobserved[301],0.004,0.0,0.004,0.005
likelihood_unobserved[302],0.004,0.001,0.003,0.005
likelihood_unobserved[303],0.009,0.007,0.002,0.015
likelihood_unobserved[304],0.004,0.0,0.004,0.004
likelihood_unobserved[305],0.004,0.001,0.004,0.005
likelihood_unobserved[306],0.002,0.001,0.002,0.003
likelihood_unobserved[307],0.005,0.003,0.002,0.007
likelihood_unobserved[308],0.003,0.0,0.002,0.003
likelihood_unobserved[309],0.005,0.0,0.005,0.005
likelihood_unobserved[310],0.002,0.0,0.002,0.002
likelihood_unobserved[311],0.007,0.005,0.002,0.012
likelihood_unobserved[312],0.002,0.0,0.002,0.002
likelihood_unobserved[313],0.003,0.0,0.003,0.003
likelihood_unobserved[314],0.004,0.0,0.004,0.004
likelihood_unobserved[315],0.004,0.0,0.004,0.004
likelihood_unobserved[316],0.004,0.001,0.003,0.005
likelihood_unobserved[317],0.003,0.0,0.003,0.003
likelihood_unobserved[318],0.005,0.004,0.001,0.008
likelihood_unobserved[319],0.006,0.0,0.006,0.006
likelihood_unobserved[320],0.006,0.004,0.001,0.01
likelihood_unobserved[321],0.009,0.005,0.004,0.014
likelihood_unobserved[322],0.01,0.004,0.005,0.014
likelihood_unobserved[323],0.004,0.001,0.003,0.006
likelihood_unobserved[324],0.002,0.001,0.001,0.004
likelihood_unobserved[325],0.005,0.003,0.002,0.008
